Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
February,96765,UK,hawaii,4417,kauai,CRB
February,96714,UK,hawaii,500,kauai,CRB
February,96754,UK,hawaii,3233,kauai,CRB
February,96766,UK,hawaii,575,kauai,CRB
January,96746,UK,hawaii,3030,kauai,IPS
January,96792,UK,hawaii,2920,honolulu,IPS
January,96791,UK,hawaii,1050,honolulu,IPS
January,96707,UK,hawaii,1350,honolulu,IPS
January,96712,UK,hawaii,8450,honolulu,IPS
February,96706,UK,hawaii,200,honolulu,IPS
January,96797,UK,hawaii,671,honolulu,IPS
January,96789,UK,hawaii,1450,honolulu,IPS
January,96782,UK,hawaii,6787,honolulu,IPS
January,96818,UK,hawaii,1500,honolulu,IPS
February,96731,UK,hawaii,255,honolulu,IPS
January,96701,UK,hawaii,8670,honolulu,IPS
January,96819,UK,hawaii,7605,honolulu,IPS
January,96744,UK,hawaii,10518,honolulu,IPS
January,96817,UK,hawaii,10235,honolulu,IPS
February,96813,UK,hawaii,85637,honolulu,IPS
January,96730,UK,hawaii,750,honolulu,IPS
January,96814,UK,hawaii,84590,honolulu,IPS
January,96826,UK,hawaii,15,honolulu,IPS
January,96815,UK,hawaii,3496,honolulu,IPS
January,96822,UK,hawaii,7820,honolulu,IPS
January,96816,UK,hawaii,14750,honolulu,IPS
January,96821,UK,hawaii,17110,honolulu,IPS
January,96734,UK,hawaii,6455,honolulu,IPS
January,96825,UK,hawaii,8850,honolulu,IPS
January,96748,UK,hawaii,5,maui,IPS
January,99723,UK,alaska,250,north slope,IPS
January,96761,UK,hawaii,1250,maui,IPS
February,96793,UK,hawaii,4552,maui,IPS
January,96753,UK,hawaii,5985,maui,IPS
January,96790,UK,hawaii,2250,maui,IPS
January,96768,UK,hawaii,200,maui,IPS
January,96713,UK,hawaii,2000,maui,IPS
January,96740,UK,hawaii,900,hawaii,IPS
January,96750,UK,hawaii,200,hawaii,IPS
January,96704,UK,hawaii,500,hawaii,IPS
January,96725,UK,hawaii,212,hawaii,IPS
January,96743,UK,hawaii,900,hawaii,IPS
January,96772,UK,hawaii,250,hawaii,IPS
January,96783,UK,hawaii,250,hawaii,IPS
January,96720,UK,hawaii,1315,hawaii,IPS
January,96749,UK,hawaii,1250,hawaii,IPS
February,99603,UK,alaska,1066,kenai peninsula,IPS
January,99611,UK,alaska,6200,kenai peninsula,IPS
January,99669,UK,alaska,250,kenai peninsula,IPS
January,99672,UK,alaska,500,kenai peninsula,IPS
January,99502,UK,alaska,750,anchorage,IPS
January,99517,UK,alaska,3506,anchorage,IPS
January,99503,UK,alaska,187006,anchorage,IPS
January,99515,UK,alaska,2000,anchorage,IPS
January,99501,UK,alaska,24050,anchorage,IPS
January,99507,UK,alaska,50,anchorage,IPS
January,99508,UK,alaska,1380,anchorage,IPS
January,99516,UK,alaska,1575,anchorage,IPS
January,99504,UK,alaska,15,anchorage,IPS
January,99577,UK,alaska,200,anchorage,IPS
January,99519,UK,alaska,225,north slope,IPS
January,99706,UK,alaska,2000,southeast fairbanks,IPS
February,99709,UK,alaska,1025,fairbanks north star,IPS
March,99701,UK,alaska,650,fairbanks north star,IPS
January,99827,UK,alaska,100,hoonah-angoon,IPS
January,99829,UK,alaska,200,hoonah-angoon,IPS
January,99835,UK,alaska,500,sitka,IPS
January,99840,UK,alaska,1000,skagway,IPS
January,99801,UK,alaska,2000,juneau,IPS
February,99901,UK,alaska,250,prince of wales-hyder,IPS
January,99926,UK,alaska,1500,prince of wales-hyder,IPS
March,98357,UK,washington,5300,clallam,IPS
January,97411,UK,oregon,1020,coos,IPS
February,98331,UK,washington,25,clallam,IPS
January,98587,UK,washington,10000,grays harbor,IPS
January,95536,UK,california,655,humboldt,IPS
January,97420,UK,oregon,780,coos,IPS
February,97459,UK,oregon,1381,coos,IPS
January,95531,UK,california,3538,del norte,IPS
February,95501,UK,california,1185,humboldt,IPS
February,98535,UK,washington,10,grays harbor,IPS
January,95503,UK,california,1820,humboldt,IPS
February,95540,UK,california,400,humboldt,IPS
February,95570,UK,california,750,humboldt,IPS
January,97441,UK,oregon,16,douglas,IPS
February,97439,UK,oregon,1783,lane,IPS
February,95521,UK,california,1925,humboldt,IPS
January,95519,UK,california,3840,humboldt,IPS
February,95524,UK,california,450,humboldt,IPS
February,95565,UK,california,750,humboldt,IPS
January,97341,UK,oregon,558,lincoln,IPS
January,97498,UK,oregon,1000,lane,IPS
January,98631,UK,washington,1000,pacific,IPS
January,95548,UK,california,225,del norte,IPS
January,98624,UK,washington,201,pacific,IPS
January,97388,UK,oregon,280,lincoln,IPS
January,97110,UK,oregon,16,clatsop,IPS
January,97145,UK,oregon,1000,clatsop,IPS
January,98550,UK,washington,2000,grays harbor,IPS
February,97368,UK,oregon,1000,lincoln,IPS
January,97380,UK,oregon,5900,lincoln,IPS
February,98520,UK,washington,50,grays harbor,IPS
January,95543,UK,california,250,del norte,IPS
January,95488,UK,california,70,mendocino,IPS
January,95460,UK,california,15,mendocino,IPS
January,98638,UK,washington,650,pacific,IPS
January,95437,UK,california,1200,mendocino,IPS
February,95456,UK,california,500,mendocino,IPS
February,97103,UK,oregon,3726,clatsop,IPS
February,95410,UK,california,25,mendocino,IPS
February,98537,UK,washington,750,pacific,IPS
February,95459,UK,california,360,mendocino,IPS
January,97347,UK,oregon,1250,yamhill,IPS
February,95468,UK,california,500,mendocino,IPS
February,95417,UK,california,1000,mendocino,IPS
January,98363,UK,washington,3503,clallam,IPS
February,95427,UK,california,750,mendocino,IPS
January,95454,UK,california,145,mendocino,IPS
February,95466,UK,california,2164,mendocino,IPS
January,97471,UK,oregon,200,douglas,IPS
January,95497,UK,california,3700,sonoma,IPS
January,97370,UK,oregon,2005,benton,IPS
January,96039,UK,california,750,siskiyou,IPS
February,97378,UK,oregon,300,yamhill,IPS
January,98541,UK,washington,1250,grays harbor,IPS
March,98362,UK,washington,250,clallam,IPS
February,95415,UK,california,1800,mendocino,IPS
February,97487,UK,oregon,1300,lane,IPS
February,95490,UK,california,2050,mendocino,IPS
February,97527,UK,oregon,10,josephine,IPS
February,97470,UK,oregon,27212,douglas,IPS
February,97338,UK,oregon,834,polk,IPS
February,97526,UK,oregon,400,josephine,IPS
January,97361,UK,oregon,1201,polk,IPS
February,97544,UK,oregon,250,josephine,IPS
February,97333,UK,oregon,690,benton,IPS
January,97330,UK,oregon,6985,benton,IPS
February,98568,UK,washington,2000,lewis,IPS
February,95428,UK,california,48,mendocino,IPS
February,97101,UK,oregon,250,polk,IPS
February,97148,UK,oregon,200,yamhill,IPS
February,95470,UK,california,250,mendocino,IPS
February,97128,UK,oregon,1400,yamhill,IPS
February,95482,UK,california,2284,mendocino,IPS
February,96041,UK,california,200,trinity,IPS
February,97119,UK,oregon,1000,washington,IPS
February,97402,UK,oregon,6650,lane,IPS
February,97404,UK,oregon,250,lane,IPS
February,97106,UK,oregon,3600,washington,IPS
February,97405,UK,oregon,14315,lane,IPS
February,98584,UK,washington,737,mason,IPS
February,98382,UK,washington,13516,clallam,IPS
February,97389,UK,oregon,250,linn,IPS
February,97321,UK,oregon,850,benton,IPS
February,98579,UK,washington,750,thurston,IPS
February,97401,UK,oregon,500,lane,IPS
February,97114,UK,oregon,350,yamhill,IPS
February,97304,UK,oregon,270,yamhill,IPS
February,95469,UK,california,230,mendocino,IPS
February,97322,UK,oregon,500,linn,IPS
February,94923,UK,california,2900,sonoma,IPS
January,97424,UK,oregon,15,lane,IPS
January,97403,UK,oregon,1300,lane,IPS
February,97306,UK,oregon,862,marion,IPS
January,97302,UK,oregon,2770,marion,ISA
January,97113,UK,oregon,250,washington,ISA
