zip,state,value,latitude,longitude,county
99546,alaska,0,51.87957,-176.63675,aleutians west census area
99547,alaska,0,52.227555,-174.19628,aleutians west census area
99742,alaska,0,63.776098,-171.70088,nome
99769,alaska,0,63.686038,-170.4087,nome
99660,alaska,0,57.130894,-170.27203,aleutians west census area
99591,alaska,0,56.605546,-169.55958,aleutians west census area
99638,alaska,0,52.785684,-169.19469,aleutians west census area
99783,alaska,0,65.612116,-168.08928,nome
96850,hawaii,0,24.859832,-168.021815,honolulu
96853,hawaii,0,24.859832,-168.021815,honolulu
96857,hawaii,0,24.859832,-168.021815,honolulu
96859,hawaii,0,24.859832,-168.021815,honolulu
96860,hawaii,0,24.859832,-168.021815,honolulu
99766,alaska,0,68.347052,-166.76291,north slope
99692,alaska,0,53.883729,-166.5485,aleutians west census area
99685,alaska,0,53.872017,-166.52287,aleutians west census area
99785,alaska,0,65.342744,-166.51023,nome
99778,alaska,0,65.250432,-166.35474,nome
99630,alaska,0,60.364246,-166.28601,bethel
99604,alaska,0,61.52898,-166.09619,wade hampton
99553,alaska,0,54.098693,-165.88176,aleutians east
99772,alaska,0,66.259417,-165.73202,nome
99563,alaska,0,61.527953,-165.57029,wade hampton
99662,alaska,0,61.783788,-165.53972,wade hampton
99681,alaska,0,60.582127,-165.25645,bethel
99762,alaska,0,64.532616,-165.10883,nome
99637,alaska,0,60.532936,-165.10529,bethel
99666,alaska,0,62.495675,-164.97188,wade hampton
99690,alaska,0,60.527618,-164.81976,bethel
99554,alaska,0,62.683391,-164.65455,wade hampton
99750,alaska,0,67.733313,-164.54522,northwest arctic
99581,alaska,0,62.729019,-164.29917,wade hampton
99561,alaska,0,60.143735,-164.25283,bethel
99614,alaska,0,59.937619,-164.04392,bethel
99620,alaska,0,62.945434,-163.76142,wade hampton
99632,alaska,0,62.090075,-163.72393,wade hampton
99784,alaska,0,64.684323,-163.44257,nome
99583,alaska,0,54.849999,-163.42011,aleutians east
99658,alaska,0,62.048263,-163.1937,wade hampton
99622,alaska,0,59.870295,-163.16752,bethel
99759,alaska,0,69.741023,-163.00861,north slope
99761,alaska,0,67.572031,-162.97508,northwest arctic
99650,alaska,0,61.93605,-162.8834,wade hampton
99736,alaska,0,66.075713,-162.71822,northwest arctic
99680,alaska,0,60.343879,-162.66587,bethel
99571,alaska,0,55.315003,-162.634,aleutians east
99752,alaska,0,66.897192,-162.58544,northwest arctic
99609,alaska,0,60.873178,-162.5196,bethel
99641,alaska,0,60.898967,-162.43712,bethel
99612,alaska,0,55.063736,-162.3124,aleutians east
99739,alaska,0,64.620513,-162.27718,nome
99671,alaska,0,63.511893,-162.27463,nome
99585,alaska,0,61.878073,-162.08481,wade hampton
99659,alaska,0,63.477448,-162.03841,nome
99578,alaska,0,60.214239,-162.03799,bethel
99634,alaska,0,60.695049,-161.9909,bethel
99655,alaska,0,59.754016,-161.90079,bethel
99559,alaska,0,60.766603,-161.88006,bethel
99651,alaska,0,59.00689,-161.81529,bethel
99589,alaska,0,59.125873,-161.59999,bethel
99551,alaska,0,60.88981,-161.42393,bethel
99621,alaska,0,60.810509,-161.4219,bethel
99657,alaska,0,61.785228,-161.36476,wade hampton
99552,alaska,0,60.911865,-161.22577,bethel
99771,alaska,0,64.343258,-161.16785,nome
99753,alaska,0,64.932225,-161.15597,nome
99727,alaska,0,65.979144,-161.12225,northwest arctic
99763,alaska,0,66.83713,-161.03664,northwest arctic
99679,alaska,0,61.102912,-160.96325,bethel
99684,alaska,0,63.882081,-160.76294,nome
99678,alaska,0,59.101934,-160.50353,dillingham
99661,alaska,0,55.311735,-160.48813,aleutians east
99749,alaska,0,66.97172,-160.43016,northwest arctic
99626,alaska,0,61.518175,-160.37019,bethel
99607,alaska,0,61.535511,-160.30165,bethel
99558,alaska,0,62.632905,-160.21336,yukon-koyukuk
99590,alaska,0,62.90813,-160.06675,yukon-koyukuk
99782,alaska,0,70.640902,-160.02481,north slope
99770,alaska,0,66.597998,-160.01772,northwest arctic
99602,alaska,0,62.198048,-159.77341,yukon-koyukuk
96796,hawaii,0,21.997746,-159.7187,kauai
96752,hawaii,0,21.97313,-159.71766,kauai
96769,hawaii,0,21.946244,-159.65981,kauai
96747,hawaii,0,21.920292,-159.62428,kauai
96716,hawaii,0,21.917153,-159.59407,kauai
96705,hawaii,0,21.910767,-159.58222,kauai
99665,alaska,0,62.655998,-159.53113,yukon-koyukuk
96765,hawaii,4417,21.930922,-159.499342,kauai
96722,hawaii,0,22.223635,-159.49025,kauai
96714,hawaii,500,22.208401,-159.4896,kauai
96756,hawaii,0,21.910013,-159.48044,kauai
96741,hawaii,0,21.999721,-159.4776,kauai
